database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
4190140299	43	Ago 10 2026 11:10AM	111018	ZART_HORA_000000	ZPDA	10-08-2026	11:10:18	11:10:18	VBAK_HORA_VALIDA
4190140300	43	Ago 10 2026 11:10AM	111031	ZART_HORA_000000	ZPDA	10-08-2026	11:10:31	11:10:31	VBAK_HORA_VALIDA
4190140312	43	Ago 10 2026  8:01PM	200104	ZART_HORA_000000	ZPDA	10-08-2026	20:01:04	20:01:04	VBAK_HORA_VALIDA
4190140323	43	Ago 11 2026  4:11PM	161130	ZART_HORA_000000	ZPDA	11-08-2026	16:11:30	16:11:30	VBAK_HORA_VALIDA
1166496	45	May 12 2026  4:11PM	161107	ZART_HORA_000000	ZMAY	12-05-2026	16:11:07	16:11:07	VBAK_HORA_VALIDA
1166503	45	May 13 2026 11:09AM	110922	ZART_HORA_000000	ZMAY	13-05-2026	11:09:22	11:09:22	VBAK_HORA_VALIDA
1166696	45	May 28 2026  1:04PM	130401	ZART_HORA_000000	ZMAY	28-05-2026	13:04:01	13:04:01	VBAK_HORA_VALIDA
1166699	45	May 28 2026  2:12PM	141224	ZART_HORA_000000	ZMAY	28-05-2026	14:12:24	14:12:24	VBAK_HORA_VALIDA
1166855	45	Jun  1 2026 10:09AM	100906	ZART_HORA_000000	ZMAY	01-06-2026	10:09:06	10:09:06	VBAK_HORA_VALIDA
1167090	45	Jun  8 2026 12:02PM	120207	ZART_HORA_000000	ZMAY	08-06-2026	12:02:07	12:02:07	VBAK_HORA_VALIDA
1167100	45	Jun  8 2026  7:03PM	190311	ZART_HORA_000000	ZMAY	08-06-2026	19:03:11	19:03:11	VBAK_HORA_VALIDA
1167478	45	Jun 29 2026 10:02PM	220215	ZART_HORA_000000	ZMAY	29-06-2026	22:02:15	22:02:15	VBAK_HORA_VALIDA
1167479	45	Jun 29 2026 10:04PM	220430	ZART_HORA_000000	ZMAY	29-06-2026	22:04:30	22:04:30	VBAK_HORA_VALIDA
1167574	45	Jun 30 2026  4:10PM	161001	ZART_HORA_000000	ZMAY	30-06-2026	16:10:01	16:10:01	VBAK_HORA_VALIDA
1167610	45	Jul  1 2026 11:03AM	110304	ZART_HORA_000000	ZMAY	01-07-2026	11:03:04	11:03:04	VBAK_HORA_VALIDA
1167611	45	Jul  1 2026 11:09AM	110913	ZART_HORA_000000	ZMAY	01-07-2026	11:09:13	11:09:13	VBAK_HORA_VALIDA
1168111	45	Jul 13 2026 12:03PM	120308	ZART_HORA_000000	ZMAY	13-07-2026	12:03:08	12:03:08	VBAK_HORA_VALIDA
1168164	45	Jul 17 2026  6:04PM	180401	ZART_HORA_000000	ZMAY	17-07-2026	18:04:01	18:04:01	VBAK_HORA_VALIDA
1168294	45	Jul 29 2026  4:08PM	160804	ZART_HORA_000000	ZMAY	29-07-2026	16:08:04	16:08:04	VBAK_HORA_VALIDA
1168594	45	Ago 10 2026  8:09PM	200921	ZART_HORA_000000	ZMAY	10-08-2026	20:09:21	20:09:21	VBAK_HORA_VALIDA
4190139326	45	May 13 2026  2:11PM	141120	ZART_HORA_000000	ZPDA	13-05-2026	14:11:20	14:11:20	VBAK_HORA_VALIDA
