source_type,source_object,target_type,target_object,dependency_kind,file,evidence
MEASURE,Medidas[AUD SLA objetivo],VISUAL,table_c57572c4abbe4d,REPORT_PROJECTION,NS.Report\definition\pages\ed2a2fead6d24153bee1\visuals\table_c57572c4abbe4d\visual.json,Measure: Medidas[AUD SLA objetivo]
MEASURE,Medidas[AUD SLA objetivo],VISUAL,tt_kpi_2,REPORT_PROJECTION,NS.Report\definition\pages\cb613066ebaf4e749a13\visuals\tt_kpi_2\visual.json,Measure: Medidas[AUD SLA objetivo]
MEASURE,Medidas[AUD Semáforo SVG],VISUAL,table_15b8b83ff48292,REPORT_PROJECTION,NS.Report\definition\pages\19a0c7f8d6e54b3a9210\visuals\table_15b8b83ff48292\visual.json,Measure: Medidas[AUD Semáforo SVG]
MEASURE,Medidas[AUD Semáforo SVG],VISUAL,table_c57572c4abbe4d,REPORT_PROJECTION,NS.Report\definition\pages\ed2a2fead6d24153bee1\visuals\table_c57572c4abbe4d\visual.json,Measure: Medidas[AUD Semáforo SVG]
MEASURE,Medidas[AUD Semáforo SVG],VISUAL,tt_status,REPORT_PROJECTION,NS.Report\definition\pages\cb613066ebaf4e749a13\visuals\tt_status\visual.json,Measure: Medidas[AUD Semáforo SVG]
MEASURE,Medidas[AUD Semáforo general SVG],VISUAL,card_4e4fe7d672d840,REPORT_PROJECTION,NS.Report\definition\pages\ed2a2fead6d24153bee1\visuals\card_4e4fe7d672d840\visual.json,Measure: Medidas[AUD Semáforo general SVG]
MEASURE,Medidas[AUD Valor métrica seleccionada],VISUAL,chart_fc031821591949,REPORT_PROJECTION,NS.Report\definition\pages\ed2a2fead6d24153bee1\visuals\chart_fc031821591949\visual.json,Measure: Medidas[AUD Valor métrica seleccionada]
MEASURE,Medidas[AUD Vendedor seleccionado],VISUAL,card_7456a230aecc4b,REPORT_PROJECTION,NS.Report\definition\pages\ed2a2fead6d24153bee1\visuals\card_7456a230aecc4b\visual.json,Measure: Medidas[AUD Vendedor seleccionado]
MEASURE,Medidas[FA % Fuera SLA Cliente Visible],VISUAL,fa_clientes_recurrentes,REPORT_PROJECTION,NS.Report\definition\pages\a1b2c3d4e5f6071829\visuals\fa_clientes_recurrentes\visual.json,Measure: Medidas[FA % Fuera SLA Cliente Visible]
MEASURE,Medidas[FA % Fuera SLA Vendedor Recurrente],VISUAL,fa_vendedores_reincidentes,REPORT_PROJECTION,NS.Report\definition\pages\a1b2c3d4e5f6071829\visuals\fa_vendedores_reincidentes\visual.json,Measure: Medidas[FA % Fuera SLA Vendedor Recurrente]
MEASURE,Medidas[FA Carga % FES],VISUAL,fa_fes_carga_tiempo,REPORT_PROJECTION,NS.Report\definition\pages\a1b2c3d4e5f6071829\visuals\fa_fes_carga_tiempo\visual.json,Measure: Medidas[FA Carga % FES]
MEASURE,Medidas[FA Carga % del Mes],VISUAL,fa_fes_carga_tiempo,REPORT_PROJECTION,NS.Report\definition\pages\a1b2c3d4e5f6071829\visuals\fa_fes_carga_tiempo\visual.json,Measure: Medidas[FA Carga % del Mes]
MEASURE,Medidas[FA Carga Líneas x Pedido],VISUAL,fa_fes_carga_tiempo,REPORT_PROJECTION,NS.Report\definition\pages\a1b2c3d4e5f6071829\visuals\fa_fes_carga_tiempo\visual.json,Measure: Medidas[FA Carga Líneas x Pedido]
